SDIE v4 RAG Pipeline — Inizio Slab with tag.dxf
Processed: 2026-06-05T10:18:43.067619+00:00
Components classified: 5809
Graph: 5809 nodes, 8402 edges

Slabs detected: 697
Total area:      44267.978 m²
Total concrete:  9198.433 m³
Total shuttering:44267.978 m²

Benchmark overall accuracy: 0.0%
  SLAB-239: 4.396 m², 200 mm (local_thk_label), 0.879 m³
  SLAB-240: 69.882 m², 200 mm (local_thk_label), 13.976 m³
  SLAB-241: 32.574 m², 200 mm (local_thk_label), 6.515 m³
  SLAB-242: 3.011 m², 200 mm (local_thk_label), 0.602 m³
  SLAB-243: 77.708 m², 200 mm (local_thk_label), 15.542 m³
  SLAB-244: 84.249 m², 200 mm (local_thk_label), 16.850 m³
  SLAB-245: 18.392 m², 200 mm (local_thk_label), 3.678 m³
  SLAB-246: 3.820 m², 200 mm (local_thk_label), 0.764 m³
  SLAB-247: 231.563 m², 200 mm (local_thk_label), 46.313 m³
  SLAB-248: 652.779 m², 200 mm (local_thk_label), 130.556 m³
  SLAB-249: 47.627 m², 200 mm (local_thk_label), 9.525 m³
  SLAB-250: 33.754 m², 200 mm (local_thk_label), 6.751 m³
  SLAB-251: 59.933 m², 200 mm (local_thk_label), 11.987 m³
  SLAB-252: 8.703 m², 200 mm (local_thk_label), 1.741 m³
  SLAB-253: 13.315 m², 200 mm (local_thk_label), 2.663 m³
  SLAB-254: 15.289 m², 200 mm (local_thk_label), 3.058 m³
  SLAB-255: 44.142 m², 200 mm (local_thk_label), 8.828 m³
  SLAB-256: 5.934 m², 200 mm (local_thk_label), 1.187 m³
  SLAB-257: 61.209 m², 200 mm (local_thk_label), 12.242 m³
  SLAB-258: 72.833 m², 200 mm (local_thk_label), 14.567 m³
  SLAB-259: 53.421 m², 200 mm (local_thk_label), 10.684 m³
  SLAB-260: 43.134 m², 200 mm (local_thk_label), 8.627 m³
  SLAB-261: 32.880 m², 200 mm (local_thk_label), 6.576 m³
  SLAB-262: 43.641 m², 200 mm (local_thk_label), 8.728 m³
  SLAB-263: 70.546 m², 200 mm (local_thk_label), 14.109 m³
  SLAB-264: 302.235 m², 200 mm (local_thk_label), 60.447 m³
  SLAB-265: 3.626 m², 200 mm (local_thk_label), 0.725 m³
  SLAB-266: 0.406 m², 200 mm (local_thk_label), 0.081 m³
  SLAB-267: 33.437 m², 200 mm (local_thk_label), 6.687 m³
  SLAB-268: 29.012 m², 200 mm (local_thk_label), 5.802 m³
  SLAB-269: 123.650 m², 200 mm (local_thk_label), 24.730 m³
  SLAB-270: 1057.044 m², 200 mm (local_thk_label), 211.409 m³
  SLAB-271: 3.506 m², 200 mm (local_thk_label), 0.701 m³
  SLAB-272: 17.492 m², 200 mm (local_thk_label), 3.498 m³
  SLAB-273: 9.917 m², 200 mm (local_thk_label), 1.983 m³
  SLAB-274: 2.106 m², 200 mm (local_thk_label), 0.421 m³
  SLAB-275: 11.218 m², 200 mm (local_thk_label), 2.244 m³
  SLAB-276: 7.220 m², 200 mm (local_thk_label), 1.444 m³
  SLAB-277: 11.604 m², 200 mm (local_thk_label), 2.321 m³
  SLAB-278: 2.231 m², 200 mm (local_thk_label), 0.446 m³
  SLAB-279: 2.149 m², 200 mm (local_thk_label), 0.430 m³
  SLAB-280: 12.446 m², 200 mm (local_thk_label), 2.489 m³
  SLAB-281: 1.925 m², 200 mm (local_thk_label), 0.385 m³
  SLAB-282: 1.129 m², 200 mm (local_thk_label), 0.226 m³
  SLAB-283: 28.045 m², 200 mm (local_thk_label), 5.609 m³
  SLAB-284: 20.721 m², 200 mm (local_thk_label), 4.144 m³
  SLAB-285: 17.667 m², 200 mm (local_thk_label), 3.533 m³
  SLAB-286: 16.339 m², 200 mm (local_thk_label), 3.268 m³
  SLAB-287: 8.411 m², 200 mm (local_thk_label), 1.682 m³
  SLAB-288: 42.291 m², 200 mm (local_thk_label), 8.458 m³
  SLAB-289: 70.986 m², 200 mm (local_thk_label), 14.197 m³
  SLAB-290: 31.428 m², 200 mm (local_thk_label), 6.286 m³
  SLAB-291: 112.555 m², 200 mm (local_thk_label), 22.511 m³
  SLAB-292: 28.228 m², 200 mm (local_thk_label), 5.646 m³
  SLAB-293: 26.953 m², 200 mm (local_thk_label), 5.391 m³
  SLAB-294: 1.328 m², 200 mm (local_thk_label), 0.266 m³
  SLAB-295: 31.614 m², 200 mm (local_thk_label), 6.323 m³
  SLAB-296: 20.224 m², 200 mm (local_thk_label), 4.045 m³
  SLAB-297: 12.295 m², 200 mm (local_thk_label), 2.459 m³
  SLAB-298: 3.715 m², 200 mm (local_thk_label), 0.743 m³
  SLAB-299: 62.563 m², 200 mm (local_thk_label), 12.513 m³
  SLAB-300: 19.295 m², 200 mm (local_thk_label), 3.859 m³
  SLAB-301: 137.102 m², 200 mm (local_thk_label), 27.420 m³
  SLAB-302: 76.227 m², 200 mm (local_thk_label), 15.245 m³
  SLAB-303: 74.981 m², 200 mm (local_thk_label), 14.996 m³
  SLAB-304: 96.415 m², 200 mm (local_thk_label), 19.283 m³
  SLAB-305: 82.264 m², 200 mm (local_thk_label), 16.453 m³
  SLAB-306: 12.730 m², 200 mm (local_thk_label), 2.546 m³
  SLAB-307: 1035.675 m², 200 mm (local_thk_label), 207.135 m³
  SLAB-308: 47.192 m², 200 mm (local_thk_label), 9.438 m³
  SLAB-309: 33.901 m², 200 mm (local_thk_label), 6.780 m³
  SLAB-310: 83.296 m², 200 mm (local_thk_label), 16.659 m³
  SLAB-311: 7.699 m², 200 mm (local_thk_label), 1.540 m³
  SLAB-312: 9.279 m², 200 mm (local_thk_label), 1.856 m³
  SLAB-313: 20.129 m², 200 mm (local_thk_label), 4.026 m³
  SLAB-314: 33.684 m², 200 mm (local_thk_label), 6.737 m³
  SLAB-315: 26.185 m², 200 mm (local_thk_label), 5.237 m³
  SLAB-316: 88.366 m², 200 mm (local_thk_label), 17.673 m³
  SLAB-317: 72.977 m², 200 mm (local_thk_label), 14.595 m³
  SLAB-318: 64.049 m², 200 mm (local_thk_label), 12.810 m³
  SLAB-319: 38.992 m², 200 mm (local_thk_label), 7.798 m³
  SLAB-320: 34.216 m², 200 mm (local_thk_label), 6.843 m³
  SLAB-321: 3.010 m², 200 mm (local_thk_label), 0.602 m³
  SLAB-322: 1.914 m², 200 mm (local_thk_label), 0.383 m³
  SLAB-323: 0.809 m², 200 mm (local_thk_label), 0.162 m³
  SLAB-324: 0.406 m², 200 mm (local_thk_label), 0.081 m³
  SLAB-325: 2.231 m², 200 mm (local_thk_label), 0.446 m³
  SLAB-326: 4.172 m², 200 mm (local_thk_label), 0.834 m³
  SLAB-327: 3.196 m², 200 mm (local_thk_label), 0.639 m³
  SLAB-328: 1.788 m², 200 mm (local_thk_label), 0.358 m³
  SLAB-329: 0.623 m², 200 mm (local_thk_label), 0.125 m³
  SLAB-330: 3.506 m², 200 mm (local_thk_label), 0.701 m³
  SLAB-331: 17.473 m², 200 mm (local_thk_label), 3.495 m³
  SLAB-332: 9.917 m², 200 mm (local_thk_label), 1.983 m³
  SLAB-333: 2.106 m², 200 mm (local_thk_label), 0.421 m³
  SLAB-334: 1.258 m², 200 mm (local_thk_label), 0.252 m³
  SLAB-335: 0.549 m², 200 mm (local_thk_label), 0.110 m³
  SLAB-336: 1.301 m², 200 mm (local_thk_label), 0.260 m³
  SLAB-337: 0.406 m², 200 mm (local_thk_label), 0.081 m³
  SLAB-338: 3.011 m², 200 mm (local_thk_label), 0.602 m³
  SLAB-339: 12.446 m², 200 mm (local_thk_label), 2.489 m³
  SLAB-340: 1.925 m², 200 mm (local_thk_label), 0.385 m³
  SLAB-341: 0.501 m², 200 mm (local_thk_label), 0.100 m³
  SLAB-342: 24.227 m², 200 mm (local_thk_label), 4.845 m³
  SLAB-343: 14.905 m², 200 mm (local_thk_label), 2.981 m³
  SLAB-344: 20.173 m², 200 mm (local_thk_label), 4.035 m³
  SLAB-345: 16.339 m², 200 mm (local_thk_label), 3.268 m³
  SLAB-346: 4.699 m², 200 mm (local_thk_label), 0.940 m³
  SLAB-347: 42.292 m², 200 mm (local_thk_label), 8.458 m³
  SLAB-348: 5.201 m², 200 mm (local_thk_label), 1.040 m³
  SLAB-349: 31.409 m², 200 mm (local_thk_label), 6.282 m³
  SLAB-350: 2.999 m², 200 mm (local_thk_label), 0.600 m³
  SLAB-351: 28.209 m², 200 mm (local_thk_label), 5.642 m³
  SLAB-352: 6.766 m², 200 mm (local_thk_label), 1.353 m³
  SLAB-353: 1.650 m², 200 mm (local_thk_label), 0.330 m³
  SLAB-354: 2.267 m², 200 mm (local_thk_label), 0.453 m³
  SLAB-355: 1.631 m², 200 mm (local_thk_label), 0.326 m³
  SLAB-356: 11.889 m², 200 mm (local_thk_label), 2.378 m³
  SLAB-357: 3.715 m², 200 mm (local_thk_label), 0.743 m³
  SLAB-358: 83.133 m², 200 mm (local_thk_label), 16.627 m³
  SLAB-359: 113.927 m², 200 mm (local_thk_label), 22.785 m³
  SLAB-360: 75.829 m², 200 mm (local_thk_label), 15.166 m³
  SLAB-361: 72.858 m², 200 mm (local_thk_label), 14.572 m³
  SLAB-362: 0.428 m², 200 mm (local_thk_label), 0.086 m³
