SDIE v4 RAG Pipeline — Trust office Slab & Beam with tag.dxf
Processed: 2026-06-05T11:15:34.905028+00:00
Components classified: 7287
Graph: 7287 nodes, 8324 edges

Slabs detected: 5330
Total area:      137828.113 m²
Total concrete:  27547.887 m³
Total shuttering:137828.113 m²

Benchmark overall accuracy: 0.0%
  SLAB-343: 3.574 m², 200 mm (default_note), 0.715 m³
  SLAB-344: 3.243 m², 200 mm (default_note), 0.649 m³
  SLAB-345: 2.106 m², 200 mm (default_note), 0.421 m³
  SLAB-346: 1.537 m², 200 mm (default_note), 0.307 m³
  SLAB-347: 1.427 m², 200 mm (default_note), 0.285 m³
  SLAB-348: 2.650 m², 200 mm (default_note), 0.530 m³
  SLAB-349: 1.854 m², 200 mm (default_note), 0.371 m³
  SLAB-350: 4.667 m², 200 mm (default_note), 0.933 m³
  SLAB-351: 2.150 m², 200 mm (default_note), 0.430 m³
  SLAB-352: 4.579 m², 200 mm (default_note), 0.916 m³
  SLAB-353: 1.092 m², 200 mm (default_note), 0.218 m³
  SLAB-354: 3.559 m², 200 mm (default_note), 0.712 m³
  SLAB-355: 6.588 m², 200 mm (default_note), 1.318 m³
  SLAB-356: 2.106 m², 200 mm (default_note), 0.421 m³
  SLAB-357: 4.499 m², 200 mm (default_note), 0.900 m³
  SLAB-358: 2.128 m², 200 mm (default_note), 0.426 m³
  SLAB-359: 1.306 m², 200 mm (default_note), 0.261 m³
  SLAB-360: 0.945 m², 200 mm (default_note), 0.189 m³
  SLAB-361: 4.035 m², 200 mm (default_note), 0.807 m³
  SLAB-362: 5.261 m², 200 mm (default_note), 1.052 m³
  SLAB-363: 2.291 m², 200 mm (default_note), 0.458 m³
  SLAB-364: 2.118 m², 200 mm (default_note), 0.424 m³
  SLAB-365: 0.959 m², 200 mm (default_note), 0.192 m³
  SLAB-366: 1.128 m², 200 mm (default_note), 0.226 m³
  SLAB-367: 1.877 m², 200 mm (default_note), 0.375 m³
  SLAB-368: 1.657 m², 200 mm (default_note), 0.331 m³
  SLAB-369: 1.262 m², 200 mm (default_note), 0.252 m³
  SLAB-370: 5.893 m², 200 mm (default_note), 1.179 m³
  SLAB-371: 1.657 m², 200 mm (default_note), 0.331 m³
  SLAB-372: 2.614 m², 200 mm (default_note), 0.523 m³
  SLAB-373: 1.520 m², 200 mm (default_note), 0.304 m³
  SLAB-374: 2.374 m², 200 mm (default_note), 0.475 m³
  SLAB-375: 2.100 m², 200 mm (default_note), 0.420 m³
  SLAB-376: 2.998 m², 200 mm (default_note), 0.600 m³
  SLAB-377: 4.327 m², 200 mm (default_note), 0.865 m³
  SLAB-378: 4.162 m², 200 mm (default_note), 0.832 m³
  SLAB-379: 1.877 m², 200 mm (default_note), 0.375 m³
  SLAB-380: 2.690 m², 200 mm (default_note), 0.538 m³
  SLAB-381: 4.868 m², 200 mm (default_note), 0.974 m³
  SLAB-382: 14.510 m², 200 mm (default_note), 2.902 m³
  SLAB-383: 8.029 m², 175 mm (175THK), 1.405 m³
  SLAB-384: 3.545 m², 175 mm (175THK), 0.620 m³
  SLAB-385: 10.787 m², 200 mm (default_note), 2.157 m³
  SLAB-386: 3.231 m², 200 mm (default_note), 0.646 m³
  SLAB-387: 3.459 m², 200 mm (default_note), 0.692 m³
  SLAB-388: 7.661 m², 200 mm (default_note), 1.532 m³
  SLAB-389: 3.231 m², 200 mm (default_note), 0.646 m³
  SLAB-390: 12.232 m², 200 mm (default_note), 2.446 m³
  SLAB-391: 6.427 m², 200 mm (default_note), 1.285 m³
  SLAB-392: 12.859 m², 200 mm (default_note), 2.572 m³
  SLAB-393: 4.365 m², 200 mm (default_note), 0.873 m³
  SLAB-394: 1.954 m², 200 mm (default_note), 0.391 m³
  SLAB-395: 5.260 m², 200 mm (default_note), 1.052 m³
